                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.3531,                  0.853,                 1.0682,                0.93216,                0.26115,                0.28494,                 0.1995,                 1.1193,                0.66878,                 1.0123,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2583,                0.83926,                 1.0834,                0.97539,                0.49469,                0.53595,                0.36476,                 1.2724,                0.75324,                  1.023,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2598,                0.82221,                  1.079,                0.92358,                0.43618,                0.44398,                0.32256,                 1.0172,                0.65975,                0.98416,                0.00101,                0.00101,                0.00101
                     52,                 1.2156,                0.80548,                  1.076,                0.95217,                0.60297,                0.63669,                0.48048,                 1.0221,                  0.573,                0.99273,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1888,                 0.7822,                 1.0346,                0.94784,                0.81014,                0.84149,                0.61808,                 1.0553,                0.63484,                 0.9793,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2207,                 0.7765,                 1.0964,                0.97133,                 0.8896,                0.92416,                0.67608,                 1.0609,                 0.5988,                0.99556,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1898,                0.73608,                 1.0175,                0.98234,                0.94454,                0.98269,                0.72501,                 1.0571,                0.59687,                0.99592,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2384,                0.77634,                 1.0476,                0.98147,                 0.8997,                0.93607,                0.69888,                 1.0039,                0.57467,                0.97201,               0.000911,               0.000911,               0.000911
                     57,                 1.1178,                0.72901,                 1.0445,                0.96545,                0.81529,                 0.8423,                0.61404,                 1.0218,                0.59478,                0.97075,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1431,                0.73084,                  1.068,                0.94538,                0.91872,                0.94093,                0.67503,                 1.0854,                0.58573,                 1.0048,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2356,                0.77088,                 1.0487,                0.98442,                 0.9448,                0.98168,                0.71216,                 1.0694,                0.61109,                0.98335,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1647,                0.77178,                 1.0263,                0.97135,                0.88323,                0.91861,                0.66586,                 1.0225,                0.59739,                0.96951,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2187,                0.76736,                 1.0574,                0.96203,                0.94904,                0.98837,                0.69959,                 1.1071,                 0.6143,                0.98261,               0.000812,               0.000812,               0.000812
                     62,                  1.237,                 0.7494,                 1.0392,                0.98487,                0.96741,                0.99338,                0.74508,                0.98505,                0.55708,                  0.962,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1483,                0.74086,                 1.0514,                0.98448,                0.94263,                0.98351,                0.73187,                 1.0263,                0.58043,                0.96431,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1929,                0.72987,                 1.0286,                0.95699,                 0.9087,                0.93905,                 0.7045,                0.96814,                0.55774,                0.95522,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1773,                0.75047,                 1.0314,                0.98405,                0.91695,                0.94515,                 0.7291,                0.92769,                0.55241,                0.95876,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1644,                0.77275,                 1.0388,                0.96108,                0.97877,                0.99177,                0.75818,                0.94236,                0.56076,                0.96025,               0.000713,               0.000713,               0.000713
                     67,                 1.0937,                0.72773,                 1.0424,                   0.99,                0.95966,                0.99194,                0.75505,                0.94353,                 0.5167,                0.95169,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0973,                0.70297,                 1.0346,                0.95831,                 0.9724,                0.98551,                0.75266,                 0.9905,                0.53838,                0.96698,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0633,                0.68058,                 1.0011,                0.98837,                0.94692,                0.98335,                0.76469,                0.93313,                0.53991,                0.95033,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.083,                 0.6851,                0.99594,                0.98905,                0.95853,                0.99233,                 0.7569,                0.95753,                 0.5401,                0.94889,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0665,                 0.7075,                 1.0458,                  0.987,                0.96744,                0.98656,                0.76744,                0.95044,                0.53606,                0.95417,               0.000614,               0.000614,               0.000614
                     72,                  1.096,                0.70335,                 1.0148,                0.97371,                0.94347,                0.98435,                 0.7161,                0.99406,                0.64531,                0.95747,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0942,                0.73079,                 1.0458,                0.96803,                0.96418,                 0.9919,                0.75949,                0.94649,                0.52783,                 0.9429,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1084,                 0.7263,                0.99653,                0.95823,                0.97452,                0.99196,                0.77233,                 0.9176,                0.52451,                0.94422,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0516,                0.68751,                0.99332,                0.96985,                 0.9724,                0.99336,                0.76215,                0.89521,                0.54211,                0.93079,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0486,                0.66888,                0.97319,                0.99103,                0.97452,                0.99382,                0.77624,                0.90877,                0.50694,                0.92932,               0.000515,               0.000515,               0.000515
                     77,                 1.0452,                0.67485,                0.99589,                0.95233,                0.97028,                0.99135,                0.77736,                0.89585,                0.54903,                 0.9302,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0863,                0.68012,                   1.01,                0.95881,                0.97452,                0.99161,                0.75996,                0.92415,                0.53965,                0.93215,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0046,                0.64644,                0.99638,                0.96524,                0.96178,                0.99103,                0.76891,                0.92464,                0.52332,                0.92726,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.042,                 0.6571,                0.99716,                0.95405,                0.96978,                0.98947,                0.77353,                0.88975,                0.51994,                0.92177,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0206,                0.63163,                0.98303,                0.96465,                 0.9848,                0.99185,                0.77618,                0.90735,                0.51632,                0.92108,               0.000416,               0.000416,               0.000416
                     82,                0.99516,                0.62362,                0.97367,                0.98903,                0.95698,                0.99306,                0.77823,                0.89268,                0.49275,                0.91894,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0203,                0.64188,                0.97002,                0.99302,                0.96603,                0.99381,                0.78217,                0.87649,                0.49499,                0.91342,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0315,                0.63375,                0.95702,                0.96334,                0.98726,                0.99349,                0.78814,                0.86568,                0.49482,                 0.9191,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0083,                0.64184,                0.99259,                0.99218,                0.96391,                 0.9937,                 0.7966,                0.83433,                0.47209,                0.91405,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0185,                0.63617,                 1.0066,                0.99345,                0.96569,                0.99376,                0.79266,                 0.8692,                0.47459,                0.91456,               0.000317,               0.000317,               0.000317
                     87,                 1.0229,                0.62286,                0.99452,                0.95649,                0.97452,                0.99244,                0.78501,                0.87495,                0.49908,                0.91734,              0.0002972,              0.0002972,              0.0002972
                     88,                  0.996,                0.64418,                0.99022,                0.97232,                0.96941,                 0.9926,                0.79532,                0.83148,                0.48146,                0.91122,              0.0002774,              0.0002774,              0.0002774
                     89,                0.96327,                0.60731,                0.95625,                0.98058,                0.96463,                0.99347,                0.78673,                 0.8381,                0.47666,                0.91199,              0.0002576,              0.0002576,              0.0002576
                     90,                0.98267,                0.59807,                 1.0029,                 0.9904,                0.95541,                0.98046,                0.78318,                 0.8495,                0.47167,                0.90811,              0.0002378,              0.0002378,              0.0002378
                     91,                0.96463,                0.67202,                0.95897,                0.96707,                0.93513,                0.95882,                0.78677,                 0.8213,                 0.4671,                0.90504,               0.000218,               0.000218,               0.000218
                     92,                 0.9152,                0.59951,                 0.9497,                 0.9888,                0.92994,                0.96078,                0.76426,                0.86587,                0.48866,                0.90555,              0.0001982,              0.0001982,              0.0001982
                     93,                0.86945,                0.58098,                0.94105,                0.99135,                0.97362,                0.99357,                 0.8009,                0.82133,                0.46591,                0.89975,              0.0001784,              0.0001784,              0.0001784
                     94,                0.87025,                0.58166,                0.95188,                0.99127,                0.96412,                0.99385,                0.79162,                0.84723,                0.47305,                0.89716,              0.0001586,              0.0001586,              0.0001586
                     95,                0.88327,                 0.6001,                 0.9536,                0.99342,                0.96213,                0.99377,                0.81006,                0.80684,                0.46842,                0.89442,              0.0001388,              0.0001388,              0.0001388
                     96,                0.83412,                0.57107,                0.94559,                0.98921,                0.96391,                0.99353,                0.80259,                0.81644,                 0.4671,                0.89851,               0.000119,               0.000119,               0.000119
                     97,                0.82265,                0.55659,                0.94113,                0.98494,                0.97186,                0.99354,                0.81107,                0.80205,                0.45518,                0.89829,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.85257,                0.56248,                0.94726,                0.98911,                0.96434,                0.99375,                0.80631,                0.81837,                0.45778,                0.89863,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.81951,                0.56022,                0.93553,                0.98912,                0.96502,                0.99396,                 0.8159,                0.79483,                0.44861,                0.89642,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.83929,                0.55074,                0.93493,                0.98721,                0.96815,                0.99384,                0.81484,                0.79548,                 0.4514,                0.89577,               3.98e-05,               3.98e-05,               3.98e-05
