                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0083,                 14.225,                 4.1496,                  2e-05,                0.00212,                  1e-05,                      0,                 4.1909,                 28.002,                 3.3544,                0.00036,                0.00036,                0.00036
                      2,                 4.3701,                 10.294,                 4.0828,                  2e-05,                0.00212,                  1e-05,                      0,                 4.1844,                  25.75,                 3.3409,             0.00073267,             0.00073267,             0.00073267
                      3,                 4.1907,                 8.6818,                 3.6481,                  2e-05,                0.00212,                  1e-05,                      0,                 4.1828,                 9.5752,                 3.3574,              0.0010978,              0.0010978,              0.0010978
                      4,                 3.9191,                 7.9479,                 3.2175,                  2e-05,                0.00212,                  1e-05,                      0,                 4.2749,                 11.204,                 3.4717,              0.0014555,              0.0014555,              0.0014555
                      5,                 3.3838,                 5.8776,                 2.9014,                  2e-05,                0.00212,                  1e-05,                      0,                 3.7169,                  10.14,                 2.9987,              0.0018056,              0.0018056,              0.0018056
                      6,                  3.396,                 4.7717,                 2.7185,                0.00029,                0.00849,                0.00031,                0.00013,                 2.9833,                 10.416,                 2.6987,               0.001901,               0.001901,               0.001901
                      7,                 3.1733,                 4.1202,                 2.2896,                0.00304,                0.07856,                0.00346,                0.00106,                 3.3683,                 13.875,                 3.5276,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.9655,                 3.3566,                 2.0434,                0.10737,                0.03609,                0.00777,                0.00346,                 2.8186,                 6.5826,                 2.1648,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.7284,                 3.0471,                 1.8848,                0.16264,                0.05096,                0.01437,                0.00551,                 2.6503,                 5.3264,                 2.4558,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5892,                 2.6644,                 1.7908,                0.30914,                0.05945,                0.05211,                0.02437,                 2.4354,                 2.5414,                 1.7014,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.5028,                 2.5324,                 1.6589,                0.74113,                0.05732,                0.06029,                0.03224,                 2.0666,                  1.969,                 1.5365,               0.001802,               0.001802,               0.001802
                     12,                 2.3269,                 2.1521,                 1.5767,                0.67806,                0.07006,                0.07373,                0.03196,                  2.277,                 1.9976,                 1.5847,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2502,                 2.0281,                 1.4872,                0.71764,                0.05936,                0.05343,                0.02849,                 2.1412,                 1.9941,                 1.5478,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2271,                 2.0529,                 1.5249,                0.62486,                0.08068,                 0.0851,                0.03617,                 2.0335,                 2.2466,                 1.4896,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1408,                 1.9771,                 1.4131,                0.35329,                0.05732,                0.05765,                0.02322,                 2.2518,                 1.8826,                 1.5274,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.0884,                  1.907,                 1.4518,                0.48762,                0.08493,                0.08129,                0.04192,                 2.0232,                 2.0469,                 1.4434,               0.001703,               0.001703,               0.001703
                     17,                 2.0214,                 1.7062,                 1.4327,                0.63339,                0.04403,                0.05127,                0.03052,                 1.9963,                 1.9038,                 1.4583,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.962,                 1.6743,                 1.4031,                0.41195,                0.14862,                0.14318,                0.07593,                 1.9093,                 1.8584,                 1.3824,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9086,                 1.6039,                 1.3964,                0.87614,                0.16521,                0.18448,                0.09483,                 1.9002,                 1.5929,                 1.4107,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8704,                 1.5392,                 1.3826,                0.93024,                0.64968,                0.74327,                0.43211,                 1.8046,                 1.4302,                 1.3648,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.8605,                 1.4806,                 1.3227,                0.87154,                0.73248,                0.79518,                0.45585,                 1.8213,                 1.4186,                 1.3008,               0.001604,               0.001604,               0.001604
                     22,                 1.8748,                 1.5298,                 1.2737,                 0.8695,                0.45268,                0.47982,                0.29865,                 1.6886,                 1.5556,                 1.2709,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.714,                  1.351,                 1.2829,                0.85604,                0.80801,                0.84933,                0.49429,                 1.6454,                 1.2514,                 1.2646,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8738,                 1.4494,                 1.3532,                0.93019,                0.84865,                0.89813,                0.49287,                 1.6251,                  1.019,                 1.1859,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.7864,                 1.3509,                 1.2765,                0.96391,                0.86412,                0.90415,                0.48203,                 1.7083,                 1.0122,                 1.1979,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.8403,                 1.3419,                 1.2632,                0.87961,                0.86868,                0.90763,                0.44644,                 1.7499,                 1.0778,                 1.1991,               0.001505,               0.001505,               0.001505
                     27,                 1.7271,                 1.2256,                 1.2557,                0.92247,                0.89384,                0.93793,                0.55205,                 1.5326,                0.93444,                 1.1539,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6134,                 1.1985,                  1.225,                0.93635,                0.77707,                0.83024,                0.54008,                 1.4531,                0.99467,                 1.1436,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.6265,                 1.3422,                 1.2565,                0.85859,                0.68577,                0.70235,                0.45482,                 1.5471,                 1.7388,                 1.2158,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6001,                 1.2775,                 1.2471,                0.96698,                0.74622,                0.91866,                0.54865,                 1.4888,                   1.05,                 1.1266,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5879,                 1.2048,                 1.2137,                0.81689,                0.88089,                0.90583,                0.54081,                 1.4251,                 1.0348,                 1.1372,               0.001406,               0.001406,               0.001406
                     32,                 1.6336,                 1.1946,                 1.2134,                0.92905,                0.88968,                0.95144,                0.63276,                 1.3715,                0.84782,                 1.1203,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4984,                 1.0924,                 1.2011,                0.90331,                0.91238,                0.95274,                0.58377,                 1.3991,                 0.8389,                 1.1057,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.5304,                 1.0911,                 1.1718,                0.94082,                0.84387,                0.89489,                0.56183,                 1.3954,                0.82962,                 1.1126,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4625,                 1.0365,                 1.1903,                0.97339,                0.91507,                0.96877,                 0.6901,                 1.2089,                0.74673,                 1.0804,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4094,                0.98502,                 1.1709,                0.93784,                0.93843,                0.96959,                0.67628,                 1.2329,                0.77153,                 1.0835,               0.001307,               0.001307,               0.001307
                     37,                 1.3684,                0.95187,                 1.1057,                0.95508,                0.89809,                0.96474,                0.68373,                 1.1714,                0.74474,                 1.0634,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4938,                 1.0871,                 1.1788,                0.94474,                0.89384,                0.96259,                0.65632,                 1.2712,                0.86111,                 1.0589,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4475,                0.99098,                 1.1242,                0.94508,                0.58174,                0.61732,                0.39957,                 1.2326,                0.88221,                 1.0428,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4453,                0.95462,                 1.1562,                0.93272,                0.83439,                0.87906,                0.60232,                 1.2349,                0.76561,                 1.0395,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3087,                0.95222,                  1.096,                0.95886,                0.59379,                0.63475,                0.42456,                 1.1916,                0.70874,                 1.0286,               0.001208,               0.001208,               0.001208
                     42,                 1.3492,                0.98898,                 1.1215,                0.95501,                 0.5859,                0.61437,                0.43748,                 1.1367,                0.70503,                   1.03,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3332,                0.92377,                 1.1305,                0.88431,                0.12984,                  0.148,                0.10262,                 1.2475,                0.76918,                 1.0588,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2973,                0.88797,                 1.1233,                0.92773,                0.19745,                0.21804,                0.13314,                 1.4094,                 0.7203,                 1.0502,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3784,                0.90814,                 1.1265,                0.85272,                0.06794,                0.07858,                0.05108,                 1.2804,                0.74646,                 1.0303,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3178,                0.89585,                  1.069,                0.86685,                0.06794,                0.07976,                 0.0565,                 1.1098,                0.64635,                 1.0131,               0.001109,               0.001109,               0.001109
                     47,                 1.3305,                 0.8789,                 1.0748,                0.82495,                0.12527,                0.13629,                0.09579,                 1.0905,                0.64404,                0.99633,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3321,                0.88821,                 1.0748,                0.84876,                0.14225,                0.15764,                0.09435,                 1.3084,                0.70414,                 1.0072,              0.0010694,              0.0010694,              0.0010694
