                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.94,                 2.1433,                 1.8875,                 0.5775,                0.46586,                0.51723,                0.30259,                 1.5942,                 1.8229,                 1.6514,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8453,                 2.0455,                 1.8434,                 0.7413,                0.43775,                0.54123,                0.30305,                 1.5984,                  1.809,                 1.6466,               0.001307,               0.001307,               0.001307
                     37,                 1.8282,                 2.0237,                 1.8291,                0.75402,                0.43089,                0.57681,                0.31684,                 1.6218,                 1.8687,                 1.6352,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8349,                 2.0755,                 1.8107,                0.73958,                0.46586,                0.55082,                0.31723,                 1.6172,                 1.9057,                 1.6589,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8227,                 1.9008,                 1.7638,                 0.6779,                0.50715,                0.54021,                0.32096,                 1.5245,                 1.7163,                 1.5847,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.815,                 1.8724,                 1.7649,                0.67175,                0.47669,                0.54747,                0.31902,                 1.5278,                 1.6964,                 1.6065,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8477,                 1.8855,                 1.8324,                0.70891,                0.47925,                0.52494,                0.28651,                 1.6129,                  1.973,                 1.6263,               0.001208,               0.001208,               0.001208
                     42,                 1.7906,                 1.7884,                 1.6964,                0.67388,                0.49799,                0.56777,                0.33234,                 1.4977,                  2.087,                 1.5575,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7146,                 1.7808,                 1.6666,                0.67708,                0.48839,                0.57674,                0.34218,                  1.509,                 1.7279,                 1.5594,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7231,                 1.8039,                  1.673,                0.68196,                 0.4498,                0.53609,                0.30818,                 1.5905,                 1.7442,                 1.6281,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7449,                 1.8267,                  1.701,                0.72038,                0.57831,                0.65006,                0.41369,                 1.4139,                 1.5167,                 1.5141,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7352,                 1.8306,                 1.7203,                0.78496,                0.51004,                0.63696,                0.39529,                 1.4622,                 1.5325,                 1.5574,               0.001109,               0.001109,               0.001109
                     47,                 1.8119,                 1.7532,                 1.7903,                0.75408,                0.52954,                0.60994,                0.38415,                 1.4108,                 1.6777,                 1.5136,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7539,                 1.6881,                 1.7018,                0.75953,                0.53012,                 0.6316,                0.39782,                  1.417,                 1.7128,                 1.5251,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6997,                 1.6944,                  1.695,                 0.7992,                0.50201,                0.63604,                0.40207,                 1.3979,                 1.5985,                 1.5117,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7169,                 1.7635,                 1.7317,                0.75704,                0.54618,                0.64083,                0.41553,                 1.3994,                 1.5503,                 1.4977,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6853,                 1.6795,                 1.7465,                0.71372,                 0.5743,                0.67283,                0.42222,                 1.4148,                  1.519,                 1.4932,                0.00101,                0.00101,                0.00101
                     52,                  1.622,                 1.6215,                 1.6015,                0.82275,                0.56627,                0.67733,                0.39549,                 1.5016,                 1.4692,                 1.5313,              0.0009902,              0.0009902,              0.0009902
