                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4956,                 1.0883,                  1.216,                0.97557,                 0.9325,                0.96884,                0.63591,                 1.4015,                0.77483,                 1.1167,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.534,                 1.1057,                 1.1772,                0.91216,                0.83439,                0.90272,                0.62299,                 1.3114,                 1.1326,                 1.0989,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5145,                 1.0787,                 1.2089,                0.97271,                0.94268,                0.97886,                0.65844,                  1.277,                0.72126,                 1.0843,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5022,                  1.041,                 1.2016,                 0.9673,                0.94213,                0.97799,                0.66194,                 1.2622,                0.74391,                 1.0805,               0.000614,               0.000614,               0.000614
                     37,                 1.4324,                 1.0495,                  1.144,                0.97978,                0.92569,                0.96865,                0.65232,                 1.2386,                0.71084,                  1.072,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4666,                 1.0777,                 1.2015,                0.96601,                0.89172,                0.92149,                0.63903,                 1.2456,                0.77581,                  1.084,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3876,                0.98146,                 1.1361,                0.97932,                0.94268,                0.98211,                0.65187,                  1.295,                0.76661,                 1.0774,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4605,                 1.0035,                  1.189,                0.97958,                0.91646,                0.95589,                0.65896,                 1.2465,                0.71721,                 1.0607,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3193,                 1.0795,                  1.134,                0.95923,                0.94908,                 0.9786,                0.66134,                 1.2646,                0.72649,                 1.0631,               0.000416,               0.000416,               0.000416
                     42,                 1.3168,                 1.0344,                 1.1485,                0.97584,                 0.9435,                0.98712,                0.70098,                 1.1916,                0.68522,                 1.0523,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2672,                0.95939,                 1.1216,                0.98366,                0.76696,                0.79524,                 0.5555,                 1.2123,                0.69704,                 1.0518,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2764,                0.99409,                  1.094,                0.98103,                0.90234,                0.93956,                0.67073,                 1.1836,                0.66706,                 1.0358,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2138,                0.95915,                  1.094,                0.97978,                0.82303,                0.85334,                0.60186,                 1.1873,                 0.6682,                 1.0298,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1843,                0.93263,                 1.1082,                0.98304,                  0.862,                0.89425,                0.64802,                 1.1513,                 0.7026,                 1.0389,               0.000218,               0.000218,               0.000218
                     47,                  1.224,                0.97194,                  1.128,                0.97804,                0.94551,                0.98038,                0.68297,                 1.1778,                0.69121,                 1.0221,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2349,                0.95165,                 1.1139,                0.98101,                0.94692,                 0.9812,                0.71254,                 1.1215,                0.64508,                 1.0284,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1718,                0.93908,                  1.085,                0.97388,                0.95004,                0.98115,                0.71694,                 1.1101,                0.63674,                 1.0236,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.1925,                0.93399,                 1.1016,                0.98573,                0.88013,                0.91622,                0.66142,                 1.1196,                0.64224,                 1.0139,               5.96e-05,               5.96e-05,               5.96e-05
