                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0083,                 14.225,                 4.1496,                  2e-05,                0.00212,                  1e-05,                      0,                 4.1909,                 28.002,                 3.3544,                0.00036,                0.00036,                0.00036
                      2,                 4.3515,                 10.478,                 4.0894,                  1e-05,                0.00212,                  1e-05,                      0,                 4.1818,                 25.838,                 3.3365,             0.00072535,             0.00072535,             0.00072535
                      3,                 4.0055,                 8.8378,                 3.6331,                  2e-05,                0.00212,                  1e-05,                      0,                 4.1923,                 9.7916,                 3.3778,              0.0010756,              0.0010756,              0.0010756
                      4,                 3.6816,                  7.588,                 3.1095,                  2e-05,                0.00212,                  1e-05,                      0,                 4.1342,                 13.538,                 3.2541,              0.0014109,              0.0014109,              0.0014109
                      5,                 3.3072,                   5.98,                 2.9026,                  2e-05,                0.00212,                  1e-05,                      0,                 3.5049,                 11.605,                 2.8771,              0.0017311,              0.0017311,              0.0017311
                      6,                 3.3266,                 4.8245,                 2.8228,                0.00048,                0.02123,                0.00524,                 0.0026,                 3.1843,                 7.6191,                 2.8259,               0.001802,               0.001802,               0.001802
                      7,                 3.3162,                 4.5987,                 2.4819,                0.00161,                0.02972,                0.00254,                 0.0008,                 3.6237,                 5.4028,                 2.3662,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.1558,                 3.6549,                 2.3154,                0.23893,                0.03822,                0.02866,                0.01072,                 2.9295,                 3.1958,                 1.9674,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.9732,                 3.3512,                 2.0829,                 0.3452,                0.05096,                0.04051,                0.01542,                 2.7972,                 2.4018,                 1.7808,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.7629,                 2.7261,                 1.9017,                0.51537,                0.09342,                0.08699,                0.03256,                 2.6203,                  2.134,                 1.6718,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.6828,                 2.5464,                 1.7321,                0.41961,                0.08917,                0.09247,                0.04577,                 2.3205,                 1.8147,                 1.5136,               0.001604,               0.001604,               0.001604
                     12,                  2.549,                 2.2753,                 1.6566,                 0.7506,                0.03822,                0.04117,                0.01665,                 2.1855,                  2.161,                 1.4812,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.4152,                 2.0914,                 1.5304,                   0.66,                 0.0913,                0.09756,                0.04591,                 2.1433,                 1.8766,                  1.373,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.2572,                 2.0329,                 1.5366,                0.70519,                0.19321,                0.20273,                0.09519,                 2.0118,                 1.8738,                 1.3216,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.2145,                 1.9297,                 1.4273,                0.42304,                0.09554,                0.09006,                0.03098,                 2.2052,                  1.761,                 1.3335,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.2396,                 1.9221,                  1.467,                0.39256,                0.07006,                 0.0652,                0.03339,                 1.9056,                 1.4648,                 1.2828,               0.001406,               0.001406,               0.001406
                     17,                 2.0407,                 1.6259,                  1.392,                0.83618,                0.07587,                0.08011,                0.03992,                 1.9229,                 1.7711,                 1.2922,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9556,                 1.6824,                 1.3966,                0.45706,                0.07006,                 0.0718,                0.03665,                 1.8541,                 1.5023,                 1.2895,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9687,                 1.5484,                 1.3863,                0.77115,                0.07155,                0.08138,                0.03743,                 1.8686,                 1.3029,                 1.2978,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9071,                 1.5125,                 1.3761,                0.68092,                0.16136,                0.16884,                0.08142,                 1.8751,                  1.343,                 1.2357,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.919,                 1.4684,                 1.3341,                0.85005,                0.37312,                0.39529,                0.19297,                 1.8544,                 1.4046,                 1.2089,               0.001208,               0.001208,               0.001208
                     22,                 1.8777,                 1.4772,                 1.2751,                0.86136,                0.76506,                0.81105,                0.48725,                 1.5914,                 1.2483,                 1.1831,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7418,                 1.3692,                 1.2692,                0.91464,                0.67091,                0.68773,                0.39305,                 1.6617,                 1.0902,                 1.1698,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.8153,                 1.3677,                 1.3271,                0.92425,                0.64544,                0.69565,                 0.4182,                 1.5325,                 1.2265,                 1.1645,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.778,                 1.3559,                 1.2843,                0.91264,                0.89809,                0.92282,                0.53215,                 1.6443,                 1.0999,                 1.1988,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.7037,                 1.3227,                 1.2582,                0.94579,                0.85775,                0.88642,                0.55466,                 1.5083,                 1.0248,                 1.1691,                0.00101,                0.00101,                0.00101
                     27,                 1.7388,                 1.2684,                 1.2607,                0.92516,                0.82803,                 0.8572,                0.55291,                 1.4443,                0.93793,                  1.142,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6778,                 1.2805,                 1.2531,                0.88219,                 0.9087,                 0.9188,                0.58056,                 1.4861,                 0.9438,                 1.1474,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.7061,                 1.2753,                 1.2703,                0.94934,                0.59683,                0.65304,                0.39903,                  1.451,                0.92304,                 1.1368,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5434,                  1.131,                 1.2287,                0.93596,                0.62065,                0.64304,                0.39689,                 1.4181,                0.83471,                 1.1167,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.6074,                 1.1661,                 1.2224,                0.96525,                0.82559,                0.95374,                0.62314,                 1.3139,                0.89713,                 1.1086,               0.000812,               0.000812,               0.000812
                     32,                 1.5774,                 1.1208,                 1.2189,                0.97328,                0.92787,                0.97453,                0.66485,                 1.2765,                 0.7605,                  1.095,              0.0007724,              0.0007724,              0.0007724
